
     Program AVERAGE v.5.1 starts on 18Jun2018 at 21:13:10 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI), running on     1 processors
     Reading header from file  Au_CO_tmp.pp

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1s, nr2s, nr3s values from input

     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum         649     313     97               114417    40121    6739
     Tot         325     157     49

     Reading data from file  Au_CO_tmp.pp
    4.676713230   -1.537102988   -0.966239660
    4.692046716   -1.512432187   -0.959848058
    4.707380202   -1.487150748   -0.953221937
    4.722713688   -1.461286172   -0.946361786
    4.738047174   -1.434866366   -0.939268204
    4.753380660   -1.407919621   -0.931941913
    4.768714146   -1.380474579   -0.924383758
    4.784047632   -1.352560215   -0.916594715
    4.799381118   -1.324205795   -0.908575893
    4.814714604   -1.295440848   -0.900328542
    4.830048090   -1.266295127   -0.891854053
    4.845381576   -1.236798564   -0.883153966
    4.860715062   -1.206981231   -0.874229967
    4.876048548   -1.176873286   -0.865083897
    4.891382034   -1.146504929   -0.855717754
    4.906715520   -1.115906352   -0.846133689
    4.922049006   -1.085107683   -0.836334016
    4.937382492   -1.054138942   -0.826321206
    4.952715978   -1.023029986   -0.816097895
    4.968049464   -0.991810466   -0.805666878
    4.983382950   -0.960509775   -0.795031113
    4.998716436   -0.929157009   -0.784193720
    5.014049922   -0.897780915   -0.773157982
    5.029383408   -0.866409854   -0.761927341
    5.044716894   -0.835071759   -0.750505403
    5.060050380   -0.803794085   -0.738895929
    5.075383866   -0.772603775   -0.727102844
    5.090717352   -0.741527209   -0.715130226
    5.106050838   -0.710590163   -0.702982313
    5.121384324   -0.679817759   -0.690663497
    5.136717810   -0.649234419   -0.678178322
    5.152051296   -0.618863814   -0.665531489
