
     Program AVERAGE v.5.1 starts on 18Jun2018 at 16: 3:20 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI), running on     1 processors
     Reading header from file  Au_tmp.pp

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1s, nr2s, nr3s values from input

     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum         649     313     97               100611    35335    5899
     Tot         325     157     49

     Reading data from file  Au_tmp.pp
    3.588315439   -0.926101920   -0.813259308
    3.601805347   -0.953725247   -0.823084087
    3.615295255   -0.981347132   -0.832756761
    3.628785162   -1.008948092   -0.842275018
    3.642275070   -1.036508413   -0.851636642
    3.655764978   -1.064008187   -0.860839513
    3.669254885   -1.091427334   -0.869881611
    3.682744793   -1.118745640   -0.878761010
    3.696234701   -1.145942775   -0.887475883
    3.709724608   -1.172998332   -0.896024496
    3.723214516   -1.199891842   -0.904405215
    3.736704424   -1.226602807   -0.912616498
    3.750194331   -1.253110724   -0.920656897
    3.763684239   -1.279395100   -0.928525060
    3.777174147   -1.305435479   -0.936219725
    3.790664054   -1.331211459   -0.943739724
    3.804153962   -1.356702711   -0.951083976
    3.817643870   -1.381888992   -0.958251491
    3.831133777   -1.406750163   -0.965241367
    3.844623685   -1.431266204   -0.972052786
    3.858113593   -1.455417226   -0.978685013
    3.871603500   -1.479183486   -0.985137395
    3.885093408   -1.502545399   -0.991409360
    3.898583316   -1.525483557   -0.997500408
    3.912073223   -1.547978739   -1.003410116
    3.925563131   -1.570011931   -1.009138130
    3.939053039   -1.591564340   -1.014684164
    3.952542946   -1.612617419   -1.020047995
    3.966032854   -1.633152883   -1.025229460
    3.979522762   -1.653152733   -1.030228452
    3.993012669   -1.672599283   -1.035044918
    4.006502577   -1.691475184   -1.039678850
    4.019992485   -1.709763450   -1.044130287
    4.033482392   -1.727447493   -1.048399306
    4.046972300   -1.744511148   -1.052486020
    4.060462208   -1.760938703   -1.056390573
    4.073952115   -1.776714936   -1.060113134
    4.087442023   -1.791825138   -1.063653898
    4.100931931   -1.806255149   -1.067013076
    4.114421838   -1.819991385   -1.070190894
    4.127911746   -1.833020863   -1.073187587
    4.141401654   -1.845331232   -1.076003400
    4.154891561   -1.856910794   -1.078638580
    4.168381469   -1.867748526   -1.081093373
    4.181871377   -1.877834097   -1.083368023
    4.195361284   -1.887157890   -1.085462769
    4.208851192   -1.895711011   -1.087377840
    4.222341100   -1.903485307   -1.089113457
    4.235831007   -1.910473367   -1.090669826
    4.249320915   -1.916668540   -1.092047139
    4.262810823   -1.922064933   -1.093245573
    4.276300730   -1.926657418   -1.094265285
    4.289790638   -1.930441636   -1.095106416
    4.303280546   -1.933414000   -1.095769085
    4.316770453   -1.935571694   -1.096253392
    4.330260361   -1.936912676   -1.096559414
    4.343750269   -1.937435677   -1.096687207
    4.357240176   -1.937140205   -1.096636806
    4.370730084   -1.936026541   -1.096408222
    4.384219992   -1.934095746   -1.096001445
    4.397709899   -1.931349655   -1.095416442
    4.411199807   -1.927790881   -1.094653161
    4.424689715   -1.923422812   -1.093711525
    4.438179622   -1.918249615   -1.092591439
    4.451669530   -1.912276228   -1.091292790
    4.465159438   -1.905508364   -1.089815443
    4.478649345   -1.897952499   -1.088159249
    4.492139253   -1.889615871   -1.086324044
    4.505629161   -1.880506471   -1.084309648
    4.519119068   -1.870633032   -1.082115872
    4.532608976   -1.860005015   -1.079742518
    4.546098884   -1.848632598   -1.077189379
    4.559588791   -1.836526653   -1.074456247
    4.573078699   -1.823698730   -1.071542912
    4.586568607   -1.810161034   -1.068449166
    4.600058514   -1.795926399   -1.065174810
    4.613548422   -1.781008264   -1.061719650
    4.627038330   -1.765420645   -1.058083510
    4.640528237   -1.749178105   -1.054266228
    4.654018145   -1.732295726   -1.050267667
    4.667508053   -1.714789076   -1.046087712
    4.680997960   -1.696674184   -1.041726281
    4.694487868   -1.677967506   -1.037183325
    4.707977776   -1.658685899   -1.032458834
    4.721467683   -1.638846591   -1.027552839
    4.734957591   -1.618467155   -1.022465421
    4.748447499   -1.597565486   -1.017196709
    4.761937406   -1.576159772   -1.011746889
    4.775427314   -1.554268477   -1.006116206
    4.788917222   -1.531910319   -1.000304965
    4.802407129   -1.509104249   -0.994313541
    4.815897037   -1.485869435   -0.988142374
    4.829386945   -1.462225245   -0.981791979
    4.842876852   -1.438191230   -0.975262947
    4.856366760   -1.413787109   -0.968555945
    4.869856668   -1.389032757   -0.961671722
    4.883346575   -1.363948186   -0.954611109
    4.896836483   -1.338553530   -0.947375023
    4.910326391   -1.312869034   -0.939964468
    4.923816298   -1.286915032   -0.932380534
    4.937306206   -1.260711934   -0.924624405
    4.950796114   -1.234280205   -0.916697354
    4.964286021   -1.207640349   -0.908600747
    4.977775929   -1.180812884   -0.900336043
    4.991265837   -1.153818324   -0.891904798
    5.004755744   -1.126677154   -0.883308660
    5.018245652   -1.099409807   -0.874549376
    5.031735560   -1.072036637   -0.865628788
    5.045225467   -1.044577896   -0.856548834
    5.058715375   -1.017053704   -0.847311552
    5.072205283   -0.989484023   -0.837919074
    5.085695190   -0.961888629   -0.828373631
    5.099185098   -0.934287083   -0.818677553
    5.112675006   -0.906698702   -0.808833266
    5.126164913   -0.879142533   -0.798843294
    5.139654821   -0.851637321   -0.788710256
    5.153144729   -0.824201484   -0.778436873
    5.166634636   -0.796853084   -0.768025957
    5.180124544   -0.769609798   -0.757480420
    5.193614452   -0.742488898   -0.746803268
    5.207104359   -0.715507217   -0.735997603
    5.220594267   -0.688681131   -0.725066620
    5.234084175   -0.662026535   -0.714013610
    5.247574082   -0.635558815   -0.702841953
    5.261063990   -0.609292836   -0.691555123
    5.274553898   -0.583242916   -0.680156686
    5.288043805   -0.557422813   -0.668650293
    5.301533713   -0.531845704   -0.657039686
    5.315023621   -0.506524177   -0.645328692
    5.328513528   -0.481470214   -0.633521223
    5.342003436   -0.456695182   -0.621621273
    5.355493344   -0.432209828   -0.609632917
    5.368983251   -0.408024269   -0.597560309
    5.382473159   -0.384147989   -0.585407679
    5.395963067   -0.360589837   -0.573179328
    5.409452974   -0.337358029   -0.560879632
    5.422942882   -0.314460145   -0.548513034
    5.436432790   -0.291903136   -0.536084040
    5.449922697   -0.269693326   -0.523597221
    5.463412605   -0.247836422   -0.511057207
    5.476902513   -0.226337515   -0.498468682
    5.490392420   -0.205201092   -0.485836385
    5.503882328   -0.184431042   -0.473165102
    5.517372236   -0.164030670   -0.460459665
    5.530862143   -0.144002700   -0.447724950
    5.544352051   -0.124349287   -0.434965868
    5.557841959   -0.105072031   -0.422187368
    5.571331866   -0.086171981   -0.409394428
    5.584821774   -0.067649649   -0.396592055
    5.598311682   -0.049505021   -0.383785279
    5.611801589   -0.031737566   -0.370979150
    5.625291497   -0.014346249   -0.358178735
    5.638781405    0.002670456   -0.345389113
    5.652271312    0.019314553   -0.332615372
    5.665761220    0.035588506   -0.319862608
    5.679251128    0.051495227   -0.307135915
    5.692741035    0.067038056   -0.294440389
    5.706230943    0.082220735   -0.281781116
    5.719720851    0.097047393   -0.269163178
    5.733210758    0.111522514   -0.256591640
    5.746700666    0.125650916   -0.244071554
    5.760190574    0.139437712   -0.231607949
    5.773680481    0.152888287   -0.219205832
    5.787170389    0.166008257   -0.206870182
    5.800660297    0.178803434   -0.194605949
    5.814150204    0.191279794   -0.182418046
    5.827640112    0.203443429   -0.170311351
    5.841130020    0.215300516   -0.158290697
    5.854619927    0.226857277   -0.146360877
    5.868109835    0.238119937   -0.134526632
    5.881599743    0.249094694   -0.122792655
    5.895089650    0.259787678   -0.111163583
    5.908579558    0.270204925   -0.099643997
    5.922069466    0.280352343   -0.088238419
    5.935559373    0.290235691   -0.076951310
    5.949049281    0.299860555   -0.065787064
    5.962539189    0.309232329   -0.054750012
    5.976029096    0.318356207   -0.043844414
    5.989519004    0.327237168   -0.033074463
    6.003008912    0.335879976   -0.022444281
    6.016498819    0.344289174   -0.011957916
    6.029988727    0.352469093   -0.001619345
    6.043478635    0.360423853    0.008567530
    6.056968542    0.368157373    0.018598881
    6.070458450    0.375673385    0.028470953
    6.083948358    0.382975442    0.038180068
    6.097438265    0.390066935    0.047722621
    6.110928173    0.396951109    0.057095084
    6.124418081    0.403631073    0.066294001
    6.137907988    0.410109820    0.075315993
    6.151397896    0.416390233    0.084157755
    6.164887804    0.422475105    0.092816055
    6.178377711    0.428367142    0.101287736
    6.191867619    0.434068978    0.109569717
    6.205357527    0.439583177    0.117658988
    6.218847434    0.444912241    0.125552615
    6.232337342    0.450058611    0.133247738
    6.245827250    0.455024671    0.140741572
    6.259317157    0.459812745    0.148031405
    6.272807065    0.464425100    0.155114603
    6.286296973    0.468863938    0.161988606
    6.299786880    0.473131399    0.168650931
    6.313276788    0.477229556    0.175099171
    6.326766696    0.481160408    0.181330997
    6.340256603    0.484925884    0.187344161
    6.353746511    0.488527835    0.193136492
    6.367236419    0.491968031    0.198705898
    6.380726326    0.495248165    0.204050371
    6.394216234    0.498369847    0.209167983
    6.407706142    0.501334606    0.214056888
    6.421196049    0.504143889    0.218715325
    6.434685957    0.506799063    0.223141615
    6.448175865    0.509301418    0.227334167
    6.461665772    0.511652165    0.231291472
    6.475155680    0.513852440    0.235012108
    6.488645588    0.515903309    0.238494740
    6.502135495    0.517805762    0.241738119
    6.515625403    0.519560725    0.244741082
    6.529115311    0.521169050    0.247502556
    6.542605218    0.522631528    0.250021553
    6.556095126    0.523948878    0.252297173
    6.569585034    0.525121755    0.254328606
    6.583074941    0.526150746    0.256115126
    6.596564849    0.527036372    0.257656098
    6.610054757    0.527779083    0.258950973
    6.623544664    0.528379262    0.259999291
    6.637034572    0.528837219    0.260800679
    6.650524480    0.529153193    0.261354852
    6.664014387    0.529327351    0.261661613
    6.677504295    0.529359786    0.261720851
    6.690994203    0.529250517    0.261532545
    6.704484110    0.528999488    0.261096760
    6.717974018    0.528606571    0.260413650
    6.731463926    0.528071563    0.259483456
    6.744953833    0.527394191    0.258306507
    6.758443741    0.526574109    0.256883218
    6.771933649    0.525610899    0.255214095
    6.785423556    0.524504078    0.253299728
    6.798913464    0.523253091    0.251140799
    6.812403372    0.521857318    0.248738075
    6.825893279    0.520316071    0.246092411
    6.839383187    0.518628595    0.243204751
    6.852873095    0.516794069    0.240076125
    6.866363002    0.514811605    0.236707651
    6.879852910    0.512680244    0.233100534
    6.893342818    0.510398958    0.229256067
    6.906832725    0.507966647    0.225175629
    6.920322633    0.505382138    0.220860683
    6.933812541    0.502644181    0.216312781
    6.947302448    0.499751447    0.211533557
    6.960792356    0.496702531    0.206524732
    6.974282264    0.493495946    0.201288108
    6.987772171    0.490130121    0.195825573
    7.001262079    0.486603408    0.190139094
    7.014751987    0.482914075    0.184230721
    7.028241894    0.479060312    0.178102586
    7.041731802    0.475040230    0.171756898
    7.055221710    0.470851865    0.165195946
    7.068711617    0.466493182    0.158422098
    7.082201525    0.461962076    0.151437798
    7.095691433    0.457256374    0.144245568
    7.109181340    0.452373842    0.136848005
    7.122671248    0.447312187    0.129247782
    7.136161156    0.442069053    0.121447647
    7.149651063    0.436642029    0.113450423
    7.163140971    0.431028644    0.105259006
    7.176630879    0.425226364    0.096876369
    7.190120786    0.419232593    0.088305557
    7.203610694    0.413044660    0.079549689
    7.217100602    0.406659818    0.070611959
    7.230590509    0.400075230    0.061495636
    7.244080417    0.393287960    0.052204062
    7.257570325    0.386294958    0.042740653
    7.271060232    0.379093051    0.033108903
    7.284550140    0.371678923    0.023312376
    7.298040048    0.364049104    0.013354716
    7.311529955    0.356199954    0.003239638
    7.325019863    0.348127651   -0.007029067
    7.338509771    0.339828177   -0.017447534
    7.351999678    0.331297311   -0.028011822
    7.365489586    0.322530616   -0.038717920
    7.378979494    0.313523441   -0.049561741
    7.392469401    0.304270915   -0.060539130
    7.405959309    0.294767954   -0.071645859
    7.419449217    0.285009263   -0.082877633
    7.432939124    0.274989351   -0.094230089
    7.446429032    0.264702545   -0.105698798
    7.459918940    0.254143009   -0.117279270
    7.473408847    0.243304769   -0.128966952
    7.486898755    0.232181738   -0.140757236
    7.500388663    0.220767749   -0.152645456
    7.513878570    0.209056586   -0.164626893
    7.527368478    0.197042020   -0.176696782
    7.540858386    0.184717847   -0.188850308
    7.554348293    0.172077926   -0.201082615
    7.567838201    0.159116218   -0.213388807
    7.581328109    0.145826823   -0.225763952
    7.594818016    0.132204022   -0.238203086
    7.608307924    0.118242309   -0.250701214
    7.621797832    0.103936428   -0.263253317
    7.635287739    0.089281410   -0.275854355
    7.648777647    0.074272599   -0.288499269
    7.662267555    0.058905683   -0.301182983
    7.675757462    0.043176723   -0.313900415
    7.689247370    0.027082172   -0.326646471
    7.702737278    0.010618904   -0.339416055
    7.716227185   -0.006215775   -0.352204073
    7.729717093   -0.023424102   -0.365005433
    7.743207001   -0.041007846   -0.377815048
    7.756696908   -0.058968289   -0.390627846
    7.770186816   -0.077306218   -0.403438767
    7.783676724   -0.096021908   -0.416242770
    7.797166631   -0.115115114   -0.429034837
    7.810656539   -0.134585058   -0.441809973
    7.824146447   -0.154430419   -0.454563215
    7.837636354   -0.174649325   -0.467289631
    7.851126262   -0.195239337   -0.479984327
    7.864616170   -0.216197446   -0.492642448
    7.878106077   -0.237520060   -0.505259184
    7.891595985   -0.259202993   -0.517829772
    7.905085893   -0.281241459   -0.530349499
    7.918575800   -0.303630065   -0.542813707
    7.932065708   -0.326362798   -0.555217795
    7.945555616   -0.349433025   -0.567557224
    7.959045523   -0.372833483   -0.579827517
    7.972535431   -0.396556277   -0.592024265
    7.986025339   -0.420592877   -0.604143129
    7.999515246   -0.444934119   -0.616179840
    8.013005154   -0.469570203   -0.628130207
    8.026495062   -0.494490701   -0.639990114
    8.039984969   -0.519684556   -0.651755527
    8.053474877   -0.545140094   -0.663422491
    8.066964785   -0.570845031   -0.674987135
    8.080454692   -0.596786483   -0.686445676
    8.093944600   -0.622950984   -0.697794414
    8.107434508   -0.649324495   -0.709029741
    8.120924415   -0.675892425   -0.720148137
    8.134414323   -0.702639645   -0.731146173
    8.147904231   -0.729550515   -0.742020513
    8.161394138   -0.756608898   -0.752767913
    8.174884046   -0.783798188   -0.763385224
    8.188373954   -0.811101331   -0.773869391
    8.201863861   -0.838500852   -0.784217456
    8.215353769   -0.865978878   -0.794426554
    8.228843677   -0.893517167   -0.804493919
    8.242333584   -0.921097138   -0.814416880
    8.255823492   -0.948699890   -0.824192864
    8.269313400   -0.976306240   -0.833819396
    8.282803307   -1.003896747   -0.843294098
    8.296293215   -1.031451739   -0.852614689
    8.309783123   -1.058951344   -0.861778985
    8.323273030   -1.086375518   -0.870784901
    8.336762938   -1.113704073   -0.879630450
    8.350252846   -1.140916701   -0.888313739
    8.363742753   -1.167993006   -0.896832975
    8.377232661   -1.194912525   -0.905186459
    8.390722569   -1.221654754   -0.913372588
    8.404212476   -1.248199175   -0.921389856
